obs_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""415.8590""","=""400""","=""1.40e+06""",B,"=""11.54835442""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",5,5,,
"=""419.0713""","=""100""","=""2.80e+05""",B,"=""11.54835442""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,5,,
"=""419.8317""","=""200""","=""2.57e+06""",B,"=""11.62359272""","=""14.57594878""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""420.0674""","=""400""","=""9.7e+05""",B+,"=""11.54835442""","=""14.49905364""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",5,7,,
"=""425.9362""","=""200""","=""3.98e+06""",B+,"=""11.82807116""","=""14.73811536""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""426.6286""","=""100""","=""3.1e+05""",C+,"=""11.62359272""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""427.2169""","=""150""","=""8.0e+05""",B,"=""11.62359272""","=""14.52491330""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",3,3,,
"=""430.0101""","=""100""","=""3.77e+05""",B+,"=""11.62359272""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",3,5,,
"=""433.3561""","=""100""","=""5.7e+05""",B+,"=""11.82807116""","=""14.68829030""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""451.0733""","=""100""","=""1.18e+06""",B+,"=""11.82807116""","=""14.57594878""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""667.7282""","=""100""","=""2.36e+05""",B,"=""11.62359272""","=""13.47988682""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""675.2834""","=""150""","=""1.93e+06""",C,"=""12.90701530""","=""14.74254085""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",3,5,,
"=""687.1289""","=""150""","=""2.78e+06""",C,"=""12.90701530""","=""14.71089810""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",3,3,,
"=""696.5431""","=""10000""","=""6.4e+06""",B+,"=""11.54835442""","=""13.32785705""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",5,3,,
"=""703.0251""","=""150""","=""2.67e+06""",C,"=""13.07571571""","=""14.83881100""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",7,5,,
"=""706.7218""","=""10000""","=""3.8e+06""",B,"=""11.54835442""","=""13.30222747""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",5,5,,
"=""706.8736""","=""100""","=""2.0e+06""",D+,"=""13.09487256""","=""14.84836899""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",5,3,,
"=""714.7042""","=""1000""","=""6.3e+05""",B,"=""11.54835442""","=""13.28263902""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",5,3,,
"=""727.2936""","=""2000""","=""1.83e+06""",B+,"=""11.62359272""","=""13.32785705""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""737.2118""","=""200""","=""1.9e+06""",D+,"=""13.07571571""","=""14.7570516""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""",7,9,,
"=""738.3980""","=""10000""","=""8.5e+06""",B,"=""11.62359272""","=""13.30222747""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""750.3869""","=""20000""","=""4.5e+07""",B,"=""11.82807116""","=""13.47988682""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""751.4652""","=""15000""","=""4.0e+07""",B,"=""11.62359272""","=""13.27303810""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""763.5106""","=""25000""","=""2.45e+07""",B,"=""11.54835442""","=""13.17177770""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",5,5,,
"=""772.3761""","=""15000""","=""5.2e+06""",B+,"=""11.54835442""","=""13.15314387""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",5,3,,
"=""772.4207""","=""10000""","=""1.17e+07""",B+,"=""11.72316039""","=""13.32785705""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",1,3,,
"=""794.8176""","=""20000""","=""1.86e+07""",B,"=""11.72316039""","=""13.28263902""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",1,3,,
"=""800.6157""","=""20000""","=""4.9e+06""",C+,"=""11.62359272""","=""13.17177770""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""801.4786""","=""25000""","=""9.3e+06""",B,"=""11.54835442""","=""13.09487256""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",5,5,,
"=""810.3693""","=""20000""","=""2.50e+07""",B+,"=""11.62359272""","=""13.15314387""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""811.5311""","=""35000""","=""3.3e+07""",B,"=""11.54835442""","=""13.07571571""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""",5,7,,
"=""826.4522""","=""10000""","=""1.53e+07""",B+,"=""11.82807116""","=""13.32785705""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""840.8210""","=""15000""","=""2.23e+07""",B+,"=""11.82807116""","=""13.30222747""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""842.4648""","=""20000""","=""2.15e+07""",B+,"=""11.62359272""","=""13.09487256""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",3,5,,
"=""852.1442""","=""15000""","=""1.39e+07""",B,"=""11.82807116""","=""13.28263902""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""866.7944""","=""4500""","=""2.43e+06""",B,"=""11.72316039""","=""13.15314387""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",1,3,,
"=""912.2967""","=""35000""","=""1.89e+07""",B,"=""11.54835442""","=""12.90701530""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",5,3,,
"=""919.4638""","=""550""","=""1.76e+06""",C,"=""12.90701530""","=""14.2550856""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,3,,
"=""922.4499""","=""15000""","=""5.0e+06""",B,"=""11.82807116""","=""13.17177770""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""929.1531""","=""400""","=""3.26e+06""",C,"=""12.90701530""","=""14.2410277""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,
"=""935.4220""","=""1600""","=""1.06e+06""",B,"=""11.82807116""","=""13.15314387""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""965.7786""","=""25000""","=""5.4e+06""",B,"=""11.62359272""","=""12.90701530""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""978.4503""","=""4500""","=""1.47e+06""",B,"=""11.82807116""","=""13.09487256""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",3,5,,
"=""1047.0054""","=""1600""","=""9.8e+05""",C+,"=""11.72316039""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",1,3,,
"=""1050.650""","=""180""","=""1.58e+06""",C,"=""13.9034546""","=""15.0832027""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",5,7,,
"=""1067.3565""","=""200""","=""4.9e+06""",D,"=""12.90701530""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",3,5,,
"=""1148.8109""","=""400""","=""1.9e+05""",C,"=""11.82807116""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""1166.8710""","=""200""","=""3.76e+06""",C,"=""13.17177770""","=""14.2340226""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""1211.2326""","=""200""","=""3.1e+06""",D,"=""13.07571571""","=""14.0990559""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",7,7,,
"=""1240.2827""","=""200""","=""1.1e+07""",D,"=""13.15314387""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1243.9321""","=""200""","=""4.9e+06""",D,"=""12.90701530""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1245.612""","=""100""","=""8.9e+06""",D,"=""13.09487256""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",5,3,,
"=""1248.7663""","=""200""","=""1.1e+07""",D,"=""13.07571571""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",7,5,,
"=""1270.2281""","=""150""","=""7.1e+06""",D,"=""13.32785705""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1280.2739""","=""200""","=""5.7e+06""",D,"=""13.09487256""","=""14.0630272""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",5,5,,
"=""1295.6659""","=""500""","=""7.4e+06""",D,"=""12.90701530""","=""13.8636686""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,3,,
"=""1300.8264""","=""200""","=""8.9e+06""",D,"=""13.30222747""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,
"=""1321.399""","=""200""","=""8.1e+06""",D,"=""12.90701530""","=""13.8450385""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",3,1,,
"=""1323.090""","=""100""","=""4.6e+06""",D,"=""13.15314387""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,3,,
"=""1327.264""","=""500""","=""1.5e+07""",D,"=""13.30222747""","=""14.2361061""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",5,7,,
"=""1331.3210""","=""1000""","=""1.3e+07""",D,"=""13.28263902""","=""14.2136715""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",3,5,,
"=""1350.4191""","=""1000""","=""1.1e+07""",D,"=""13.09487256""","=""14.0127381""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",5,7,,
"=""1362.2659""","=""400""","=""7.3e+06""",D,"=""13.15314387""","=""14.0630272""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",3,5,,
"=""1367.8550""","=""200""","=""6.2e+06""",D,"=""13.32785705""","=""14.2340226""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1409.3640""","=""200""","=""4.3e+06""",D,"=""13.27303810""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1504.650""","=""100""","=""5.2e+06""",D,"=""13.47988682""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1694.058""","=""500""","=""2.5e+06""",D,"=""13.17177770""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
